# metadata={"schema":"utn57-zvvnmod-runtime-map-v1","baseline":"sha256:1f0cb6b8b476022726cec5f2a55973b9423ea96d7b8fd79c98b8447cf73b3592"}
id,sources,targets,note
unit:H:medi,H:medi,A_MEDI A_MEDI,from target:H:medi; composite glyph sequence; ZVVNMOD writes A:medi + A:medi identically and that reading is conformant UTN (85 witnesses e.g. ᠲᠡᠩᠷᠢ) — reverse conversion emits the shared spelling either way; picking between them is the forward direction's problem
unit:H:fina,H:fina,H_FINA,from source:H_FINA
unit:Hr:medi,Hr:medi,HR_MEDI,from source:HR_MEDI
unit:Hr:fina,Hr:fina,HR_FINA,from source:HR_FINA
unit:Hx:init,Hx:init,HX_INIT,from source:HX_INIT
unit:Hx:medi,Hx:medi,N_MEDI N_MEDI,reviewed: ZVVNMOD has no distinct medial ɣ glyph — the shape is exactly N_MEDI N_MEDI; meco-core and particle:05/32/44 agree; the forward map said M_MEDI M_MEDI until satsrag.github.io#16 corrected it; ZVVNMOD writes N:medi + N:medi identically but that reading is legal-not-conformant UTN (never observed) so this unit is the only reading
unit:Hx:fina,Hx:fina,,reviewed: no ZVVNMOD glyph — the inventory's only Hx final is the merged 'Hx f Aa f' (U+E09D); there is no standalone one so this unit is reachable only through the chachlag row and a bare Hx:fina is a conversion error
unit:I:isol,I:isol,I_ISOL,from source:I_ISOL
unit:I:init,I:init,I_INIT,from source:I_INIT
unit:I:medi,I:medi,I_MEDI,from source:I_MEDI
unit:I:fina,I:fina,I_FINA,from source:I_FINA
unit:Ix:isol,Ix:isol,,reviewed: no ZVVNMOD glyph — no name in the ZVVNMOD inventory mentions Ix at all — 'I isol' (U+E01A) is I:isol
unit:J:medi,J:medi,J_MEDI,from source:J_MEDI
unit:J:fina,J:fina,J_FINA,from source:J_FINA
unit:K:init,K:init,K_INIT,from source:K_INIT; K and K2 share this glyph so K2:init spells it too
unit:K:medi,K:medi,K_MEDI,from source:K_MEDI; K and K2 share this glyph so K2:medi spells it too
unit:K:fina,K:fina,K_FINA,from source:K_FINA; K and K2 share this glyph so K2:fina spells it too
unit:K2:init,K2:init,K_INIT,from target:K2:init
unit:K2:medi,K2:medi,K_MEDI,from target:K2:medi
unit:K2:fina,K2:fina,K_FINA,from target:K2:fina
unit:L:init,L:init,L_INIT,from source:L_INIT
unit:L:medi,L:medi,L_MEDI,from source:L_MEDI
unit:L:fina,L:fina,L_FINA,from source:L_FINA
unit:M:init,M:init,M_INIT,from source:M_INIT
unit:M:medi,M:medi,M_MEDI,from source:M_MEDI
unit:M:fina,M:fina,M_FINA,from source:M_FINA
unit:N:init,N:init,N_INIT,from source:N_INIT
unit:N:medi,N:medi,N_MEDI,from source:N_MEDI
unit:N:fina,N:fina,,reviewed: no ZVVNMOD glyph — the inventory's only N final is the merged 'N f Aa f' (U+E077); there is no standalone one so this unit is reachable only through the chachlag row and a bare N:fina is a conversion error
unit:O:init,O:init,O_INIT,from source:O_INIT
unit:O:medi,O:medi,O_MEDI,from source:O_MEDI
unit:O:fina,O:fina,O_FINA,from source:O_FINA
unit:P:init,P:init,P_INIT,from source:P_INIT
unit:P:medi,P:medi,P_MEDI,from source:P_MEDI
unit:P:fina,P:fina,P_FINA,from source:P_FINA
unit:R:init,R:init,R_INIT,from source:R_INIT
unit:R:medi,R:medi,R_MEDI,from source:R_MEDI
unit:R:fina,R:fina,R_FINA,from source:R_FINA
unit:Rh:init,Rh:init,RH_INIT,from source:RH_INIT
unit:Rh:medi,Rh:medi,RH_MEDI,from source:RH_MEDI
unit:Rh:fina,Rh:fina,RH_FINA,from source:RH_FINA
unit:S:init,S:init,S_INIT,from source:S_INIT
unit:S:medi,S:medi,S_MEDI,from source:S_MEDI
unit:S:fina,S:fina,S_FINA,from source:S_FINA
unit:Sh:init,Sh:init,SH_INIT,from source:SH_INIT
unit:Sh:medi,Sh:medi,SH_MEDI,from source:SH_MEDI
unit:Sh:fina,Sh:fina,SH_FINA,from source:SH_FINA
unit:Sz:fina,Sz:fina,,reviewed: no ZVVNMOD glyph — no name in the ZVVNMOD inventory mentions Sz at all — 'S f' (U+E03E) is S:fina
unit:T:init,T:init,T_INIT,from source:T_INIT
unit:T:medi,T:medi,T_MEDI,from source:T_MEDI
unit:T:fina,T:fina,T_FINA,from source:T_FINA
unit:U:isol,U:isol,U_ISOL,from source:U_ISOL
unit:U:fina,U:fina,U_FINA,from source:U_FINA
unit:Ue:fina,Ue:fina,UE_FINA,from source:UE_FINA
unit:Ux:isol,Ux:isol,,reviewed: no ZVVNMOD glyph — no name in the ZVVNMOD inventory mentions Ux at all — 'U isol' (U+E01B) is U:isol
unit:W:init,W:init,W_INIT,from source:W_INIT
unit:W:medi,W:medi,W_MEDI,from source:W_MEDI
unit:W:fina,W:fina,W_FINA,from source:W_FINA
unit:Y:init,Y:init,Y_INIT,from source:Y_INIT
unit:Y:medi,Y:medi,Y_MEDI,from source:Y_MEDI
unit:Z:init,Z:init,Z_INIT,from source:Z_INIT
unit:Z:medi,Z:medi,Z_MEDI,from source:Z_MEDI
unit:Z:fina,Z:fina,Z_FINA,from source:Z_FINA
unit:Zr:init,Zr:init,ZR_INIT,from source:ZR_INIT
control:Nirugu,Nirugu,NIRUGU,from source:NIRUGU
control:MVS,MVS,,structural; passed through as its source character unless a chachlag row consumes it
chachlag:Hx:fina,Hx:fina MVS Aa:isol,HX_AA_FINA,from source:HX_AA_FINA; MVS is implicit between the two glyphs
chachlag:N:fina,N:fina MVS Aa:isol,N_AA_FINA,from source:N_AA_FINA; MVS is implicit between the two glyphs
chachlag:M:fina,M:fina MVS Aa:isol,M_FINA AA_FINA,from chachlag:M_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:L:fina,L:fina MVS Aa:isol,L_FINA AA_FINA,from chachlag:L_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:S:fina,S:fina MVS Aa:isol,S_FINA AA_FINA,from chachlag:S_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:R:fina,R:fina MVS Aa:isol,R_FINA AA_FINA,from chachlag:R_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:I:isol,I:isol MVS Aa:isol,I_ISOL AA_FINA,from chachlag:I_ISOL_AA_FINA; MVS is implicit between the two glyphs
chachlag:I:fina,I:fina MVS Aa:isol,I_FINA AA_FINA,from chachlag:I_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:U:fina,U:fina MVS Aa:isol,U_FINA AA_FINA,from chachlag:U_FINA_AA_FINA; MVS is implicit between the two glyphs
chachlag:H:fina,H:fina MVS Aa:isol,H_FINA AA_FINA,from chachlag:H_FINA_AA_FINA; MVS is implicit between the two glyphs
